Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image
Sᴄᴀʟᴘɪɴɢ Sᴜɪssᴇs,@ScalpingSuisses,2023-09-24T23:38:26.000Z,False,"- NIFTY closes on friday in Unpredictable zone. 
- Next week move will be more important to determining market direction.. 
- 19,600 is act as quick support,  Let's see if it can survive beyond that level or not.. 
- Mark these chart levels & follow them.. #nifty50 #Indices",0,0,0,16,"['#nifty50', '#Indices']",[],[],https://pbs.twimg.com/profile_images/1702155131041861632/CLIUyTVs_normal.jpg
サラリマヌス,@SALARIMANUS,2023-09-24T23:20:01.000Z,True,最近TL上でも見かけるインド株インデックス、身近なところでインド人の逞しさを見聞きするから、Nifty50連動の方は適当買いしてたけど、たぱぞうさんも前向きな書きぶりでポジりたい気持ちが湧いてくる。SENSEX連動の方も買うこととする。,0,0,2,"1,229",[],[],[],https://pbs.twimg.com/profile_images/909936924902572032/VkqSdG_V_normal.jpg
みみる@米国株投資CFP®︎認定者,みみる@米国株投資,2023-09-24T23:05:58.000Z,True,"WinWinさんnifty50とSENSEXも似てるけどやや違いもあるので
頑張って欲しいですね",0,0,0,62,[],[],"['\\U0001f970', '\\U0001f338']",https://pbs.twimg.com/profile_images/1692394635963052032/Z0XY2A8e_normal.jpg
Vijay,@hiwistler,2023-09-24T22:53:25.000Z,False,"#NewJaisa  #nifty50 After my first purchase of new notebook - all my purchases have been USED -> and each one of those exceeded my needs. My present one is from 2017You do need a reliable / trustworthy seller. 

Company site:http://NewJaisa.com",0,0,1,127,"['#NewJaisa', '#nifty50']",[],"['\\u2705', '\\U0001f6d1']",https://pbs.twimg.com/profile_images/1622693603930738708/HS2xdKXE_normal.jpg
Vijay,@hiwistler,2023-09-24T22:53:24.000Z,False,#NewJaisa  Technologies IPO opens for subscription tomorrow  #nifty50 See below - second tweet  / Please RT,1,0,0,163,"['#NewJaisa', '#nifty50']",[],['\\u2705'],https://pbs.twimg.com/profile_images/1622693603930738708/HS2xdKXE_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-24T22:46:10.000Z,False,今日からの休職生活、自由に過ごして静養してくださいね( *´︶`*),1,0,2,146,[],[],[],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
saurabh mishra,@saurabh_shady91,2023-09-24T22:28:07.000Z,False,#marketcap #nifty50 #JaiShreeRam #harekrishna #Krishna,0,0,1,45,"['#marketcap', '#nifty50', '#JaiShreeRam', '#harekrishna', '#Krishna']",[],[],https://pbs.twimg.com/profile_images/982532550596988928/Aesxbw-O_normal.jpg
Tech Trader,@TechTraderr,2023-09-24T22:19:43.000Z,False,"Stock Analysis :- KRBL Ltd. 

CMP - 402 ( Support zone at 390 ) PE:- 13 (Attractive valuation) VolumeTarget :- 640#nifty50 #KRBL#trading #investing #StocksToBuy #StocksInFocus #StockToWatch #Nifty #NiftyBank #stockmarkets #PSU #StocksToTrade #banks #optiontrading",0,1,0,323,"['#nifty50', '#KRBL', '#trading', '#investing', '#StocksToBuy', '#StocksInFocus', '#StockToWatch', '#Nifty', '#NiftyBank', '#stockmarkets', '#PSU', '#StocksToTrade', '#banks', '#optiontrading']",[],"['\\U0001f3f7', '\\U0001f3f7', '\\u2b06\\ufe0f', '\\U0001f3f7']",https://pbs.twimg.com/profile_images/1684847675798331392/0VBCKTEt_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-24T22:13:24.000Z,False,あれ、あの人の発言熱心なファンだったんですね。,0,0,1,154,[],[],['\\u2049\\ufe0f'],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Ashish Pandey,@ashish111091,2023-09-24T21:36:32.000Z,False,"For 25 Sep 2023
(Education Purpose Only)
Support and Resistance Levels of#Nifty50 #banknifty #finnifty#fiidataEOD  Data 22 Sep 2023
Retail Mix to BullishDII BearishFII Mix to BearishPro One Sided BearishRetweet if its helpfull ",0,0,5,426,"['#Nifty50', '#banknifty', '#finnifty', '#fiidata']",[],"['\\U0001f402', '\\U0001f43b', '\\U0001f43b', '\\U0001f43b', '\\U0001f402', '\\U0001f43b', '\\U0001f43b', '\\U0001f64f']",https://pbs.twimg.com/profile_images/1678457504454578176/z1QEpiUP_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-24T21:33:34.000Z,False,あれま、一夜明けてフォロワーさん減って2400未満になってました2400にまた到達できるように頑張りたいと思います,1,0,83,"1,811",[],[],"['\\U0001f605', '\\U0001f60a']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Tech Trader,@TechTraderr,2023-09-24T21:29:40.000Z,False,Stock Analysis :- #LICHSGFINCMP - 460 (Strong Bullish Trend)PE:- 7.71 (Attractive valuation) DII's :- Strong %VolumeTarget 1:- 560#nifty50#trading #investing #StocksToBuy #StocksInFocus #StockToWatch #Nifty #NiftyBank #stockmarkets #PSU #StocksToTrade #Banks,0,0,0,246,"['#LICHSGFIN', '#nifty50', '#trading', '#investing', '#StocksToBuy', '#StocksInFocus', '#StockToWatch', '#Nifty', '#NiftyBank', '#stockmarkets', '#PSU', '#StocksToTrade', '#Banks']",[],"['\\U0001f3f7', '\\U0001f3f7', '\\u2b06\\ufe0f', '\\U0001f3f7', '\\u2b06\\ufe0f', '\\U0001f3f7']",https://pbs.twimg.com/profile_images/1684847675798331392/0VBCKTEt_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-24T21:18:56.000Z,False,"おはよ9月25日今日は何の日
⇒『世界初のトライアスロン』
1974年のこの日、アメリカカリフォルニア州サンディエゴ市で、世界初のトライアスロン【ラン(8.48km)、バイク(8km)、スイム(548.64ｍ)】の順序だった。日本では、1981年に鳥取県米子市で行われた皆生大会が初めて。

月曜無理せずに勝負",0,0,65,925,[],[],"['\\U0001f60c', '\\U0001f60c']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Ajay A,@AjayAsam3,2023-09-24T21:04:13.000Z,False,"#nifty5025/09/2023#Monday#StockMarket #India 
Support:19550,19590,19650
Resistance:19720,19790,19850",0,0,0,40,"['#nifty50', '#Monday', '#StockMarket', '#India']",[],[],https://pbs.twimg.com/profile_images/1537796226770665472/D3Hzh9sH_normal.jpg
たいか＠投資節約 ×副業ブロガー,@Taica_sheep,2023-09-24T20:54:00.000Z,False,"おはです月1くらいで株価を確認！
【23年初来の推移】

81.2%：ビットコイン
50.6%：イーサリアム
65.4%：レバナス
35.3%：QQQ
13.0%：S&P500
26.0%：日経平均
-10.8%：SPYD (高配当)
8.12%：NIFTY50(インド)

暗号資産、米グロース、日本株が上昇。米国高配当が厳しいですね。22年と真逆！！",3,1,98,"1,095",[],[],['\\u2600'],https://pbs.twimg.com/profile_images/1481978513662291969/ny41kqJi_normal.jpg
TRADER BABA,@parsh_08,2023-09-24T20:17:24.000Z,False,3 Stocks to watch this week#StockMarket #nifty50,0,0,0,55,"['#StockMarket', '#nifty50']",[],[],https://pbs.twimg.com/profile_images/1670861538658222097/3XUW1q6w_normal.jpg
Elliott Wave Helgi,@Achintel1,2023-09-24T20:15:34.000Z,False,"In G2 Weekend video, we explained that #indices like $ES_F, $NQ_F, $RTY_F, $Nifty50.NSE are expected to extend higher. We have explained where to buy them in 4H/Daily charts.  #elliottwave",0,0,0,83,"['#indices', '#elliottwave']",[],[],https://pbs.twimg.com/profile_images/1235948898071478272/VhYRVvJ1_normal.jpg
Shubham Gupta,@GuptaSg57,2023-09-24T19:58:51.000Z,False,"Tomorrow on Monday nifty visit 19580 and the close at 19720 and form a hammer candle , do your own analysis this is my view .#nifty50  banknifty also behave like this",0,1,0,115,['#nifty50'],[],[],https://pbs.twimg.com/profile_images/1516325081957670912/2nd5Plmn_normal.jpg
Pro Trader Bhau,@Sudhanshu1919,2023-09-24T19:52:45.000Z,False,"Stock Market India .
.
.
.#stockmarkets  #nifty #banknifty #niftybank #investing #trading #investment #trader  #cryptocurrency #INDvAUS #forex #optiontrading  #finnifty #nifty50 #tatasteel #ElvishYadav #FukraInsaan #hdfcbank #finnifty #Nasdaq #money #success  #bitcoin",0,1,1,718,"['#stockmarkets', '#nifty', '#banknifty', '#niftybank', '#investing', '#trading', '#investment', '#trader', '#cryptocurrency', '#INDvAUS', '#forex', '#optiontrading', '#finnifty', '#nifty50', '#tatasteel', '#ElvishYadav', '#FukraInsaan', '#hdfcbank', '#finnifty', '#Nasdaq', '#money', '#success', '#bitcoin']",[],"['\\U0001f1ee\\U0001f1f3', '\\U0001f4ca', '\\U0001f4b8', '\\U0001f4c8']",https://pbs.twimg.com/profile_images/1700416568411451392/kTjD2JXn_normal.jpg
Pro Trader Bhau,@Sudhanshu1919,2023-09-24T19:52:01.000Z,False,"Stock Market India .
.
.
.#stockmarkets  #nifty #banknifty #niftybank #investing #trading #investment #trader  #cryptocurrency #INDvAUS #forex #optiontrading  #finnifty #nifty50 #tatasteel #ElvishYadav #FukraInsaan #hdfcbank #finnifty #Nasdaq #money #success  #bitcoin",0,0,0,621,"['#stockmarkets', '#nifty', '#banknifty', '#niftybank', '#investing', '#trading', '#investment', '#trader', '#cryptocurrency', '#INDvAUS', '#forex', '#optiontrading', '#finnifty', '#nifty50', '#tatasteel', '#ElvishYadav', '#FukraInsaan', '#hdfcbank', '#finnifty', '#Nasdaq', '#money', '#success', '#bitcoin']",[],"['\\U0001f1ee\\U0001f1f3', '\\U0001f4ca', '\\U0001f4b8', '\\U0001f4c8']",https://pbs.twimg.com/profile_images/1700416568411451392/kTjD2JXn_normal.jpg
Nifty50+,@queenmiserable,2023-09-24T19:36:07.000Z,False,Lateral,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-24T19:35:02.000Z,False,What a gorgeous dress #Ilovedresses https://twitter.com/lovettejallow/status/1705602307822362835…,0,0,1,158,['#Ilovedresses'],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-24T19:34:37.000Z,False,The dress is so gorgeous,0,0,1,31,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-24T19:33:30.000Z,False,And looking fabulous as ever.,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Thakur Bhanu Partap Singh,@ThakurBhanuPar5,2023-09-24T19:30:41.000Z,False,Guess what is common between   and #nifty50  lately? Both are painful to watch lately.,0,0,0,69,['#nifty50'],['@ChelseaFC'],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1218791932798726145/SJgMLXJR_normal.jpg
Arijit K R0Y,@FighterAKR,2023-09-24T19:30:00.000Z,False,"#nifty50 has formed a Bearish candle on the daily chart indicates that the Market is continuously falling with volatility.

Crucial Support Level= 19,567.

Support for #Nifty @ 19,640-19,567-19,516-19,435
&
Resistance @ 19,708-19,851-19,965-20,102.#StockMarket #StockMarketindia",0,0,0,129,"['#nifty50', '#Nifty', '#StockMarket', '#StockMarketindia']",[],[],https://pbs.twimg.com/profile_images/1693088413069578240/iaxGm8Hb_normal.jpg
DALAL-E,@DalalETips,2023-09-24T19:25:46.000Z,False,"#Nifty50 is showing correction, my strategy is shared here, #trade wisely level by level as per your own risk appetite. #Nifty #StockMarketindia #sharemarket #Trending #TrendingNow #trend #SwingTrading #BreakingNews #StockMarket #stocks #stockmarkets #sharemarket #Trading",1,2,2,214,"['#Nifty50', '#trade', '#Nifty', '#StockMarketindia', '#sharemarket', '#Trending', '#TrendingNow', '#trend', '#SwingTrading', '#BreakingNews', '#StockMarket', '#stocks', '#stockmarkets', '#sharemarket', '#Trading']",[],[],https://pbs.twimg.com/profile_images/1114134459274514432/RCWpylyX_normal.jpg
fno hacked,@fno_hacked294,2023-09-24T19:19:05.000Z,True,"Reason:#FnoHacked Options Rank Indicator!!  

Usage: It tells the strength of big option sellers across strikes.   

This is a premium feature built by FnoHacked. Find Nifty options rank in image.  #nifty #nifty50 #StockMarket 

We are sharing this only for education… Show more",2,1,6,"1,074","['#FnoHacked', '#nifty', '#nifty50', '#StockMarket']",[],[],https://pbs.twimg.com/profile_images/1558761665880944640/e7V5ky6h_normal.jpg
Shashank Mishra,@investokind,2023-09-24T19:16:27.000Z,False,Nifty 50 next running Cycle is Starting from Tomorrow #Nifty #Banknifty,0,0,0,147,"['#Nifty', '#Banknifty']",[],[],https://pbs.twimg.com/profile_images/1644989217108553729/4bqNMwQT_normal.jpg
rZeuusConsulting,@rZeuus303,2023-09-24T19:13:18.000Z,False,"#nifty50 Currently 19685
Support at 19470.. Resistance at 19800/20000. Bias neutral for the week",0,0,0,97,['#nifty50'],[],[],https://pbs.twimg.com/profile_images/1415193066923716621/SDr3mxoh_normal.jpg
Sanskar,@SanskarBang,2023-09-24T19:09:26.000Z,False,MMTC guys! #SwingTrading #StocksToBuy #stockstowatch #StocksInFocus #stockmarkets #nifty50 #NiftyBank,1,0,3,258,"['#SwingTrading', '#StocksToBuy', '#stockstowatch', '#StocksInFocus', '#stockmarkets', '#nifty50', '#NiftyBank']",[],[],https://pbs.twimg.com/profile_images/1698054183201742848/NbIIJTwc_normal.jpg
Amey Sankhala,@AmeySankhala,2023-09-24T19:08:53.000Z,False,"#PARASCould turn out to be super rewarding.
Best buying zone 600/640
Targets 900/1100/1260/1500/1920.#stocks #stockmarketindia #nifty50 #banknifty #trading #investing #stockmarkets",1,9,47,"5,416","['#PARAS', '#stocks', '#stockmarketindia', '#nifty50', '#banknifty', '#trading', '#investing', '#stockmarkets']",[],[],https://pbs.twimg.com/profile_images/1646391756584554497/z9jz_lCv_normal.jpg
Lisa-Tyler,@Lisa_Tyler007,2023-09-24T19:08:29.000Z,False,$BTC 100% Profit from our entry within 2 daysFree registration Best time to start mining...Best time to start earning...Link in bio.$BTC #BTCUSDT #bitcoin #multi $matic $blz $oax #shiba #bayc #nifty50 $shib $doge #eth #ethereum #xauusd,0,0,0,88,"['#BTCUSDT', '#bitcoin', '#multi', '#shiba', '#bayc', '#nifty50', '#eth', '#ethereum', '#xauusd']",[],"['\\u2705', '\\U0001f525', '\\u2705', '\\U0001f680', '\\U0001f680']",https://pbs.twimg.com/profile_images/1679442518360899585/yEO0FsNY_normal.jpg
